locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBBPGFGJ_00944	CDS	3396				hypothetical protein
EBBPGFGJ_00945	CDS	2373				hypothetical protein
EBBPGFGJ_00946	CDS	576	tfaE_1		COG2110	Prophage tail fiber assembly protein TfaE
EBBPGFGJ_00947	CDS	1149	nanH	3.2.1.18		Sialidase
EBBPGFGJ_00948	CDS	372				hypothetical protein
EBBPGFGJ_00949	CDS	216				hypothetical protein
EBBPGFGJ_00950	CDS	324				hypothetical protein
EBBPGFGJ_00951	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
EBBPGFGJ_00952	CDS	1014		1.1.1.51		3-beta-hydroxysteroid dehydrogenase
EBBPGFGJ_00953	CDS	1434				hypothetical protein
EBBPGFGJ_00954	CDS	1002	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
EBBPGFGJ_00955	CDS	1719	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
EBBPGFGJ_00956	CDS	969	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
EBBPGFGJ_00957	CDS	1653	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
EBBPGFGJ_00958	CDS	900	lysO		COG2431	Lysine exporter LysO
EBBPGFGJ_00959	CDS	1659				hypothetical protein
EBBPGFGJ_00960	CDS	951				hypothetical protein
EBBPGFGJ_00961	CDS	1119	macA		COG0845	Macrolide export protein MacA
EBBPGFGJ_00962	CDS	1947	macB	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
EBBPGFGJ_00963	CDS	222	cspD		COG1278	Cold shock-like protein CspD
EBBPGFGJ_00964	CDS	321	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
EBBPGFGJ_00965	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
EBBPGFGJ_00966	CDS	459				IS200/IS605 family transposase IS200F
EBBPGFGJ_00967	CDS	684				IS3 family transposase ISSen1
EBBPGFGJ_00968	CDS	402				IS3 family transposase ISSen1
EBBPGFGJ_00969	tRNA	88				tRNA-Ser(gga)
EBBPGFGJ_00970	CDS	678	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
EBBPGFGJ_00971	CDS	861				hypothetical protein
EBBPGFGJ_00972	CDS	912				HTH-type transcriptional regulator
EBBPGFGJ_00973	CDS	219	infA		COG0361	Translation initiation factor IF-1
EBBPGFGJ_00974	CDS	705	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
EBBPGFGJ_00975	CDS	1722	cydC	7.4.2.-	COG4987	Glutathione/L-cysteine transport system ATP-binding/permease protein CydC
EBBPGFGJ_00976	CDS	1767	cydD	7.4.2.-	COG4988	Glutathione/L-cysteine transport system ATP-binding/permease protein CydD
EBBPGFGJ_00977	CDS	969	trxB	1.8.1.9	COG0492	Thioredoxin reductase
EBBPGFGJ_00978	CDS	495	lrp_1		COG1522	Leucine-responsive regulatory protein
EBBPGFGJ_00979	CDS	4056				hypothetical protein
EBBPGFGJ_00980	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
EBBPGFGJ_00981	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
EBBPGFGJ_00982	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
EBBPGFGJ_00983	CDS	2445	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
EBBPGFGJ_00984	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
EBBPGFGJ_00985	CDS	864	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
EBBPGFGJ_00986	CDS	1149	ycaD		COG0477	putative MFS-type transporter YcaD
EBBPGFGJ_00987	CDS	1422	ycaM		COG0531	Inner membrane transporter YcaM
EBBPGFGJ_00988	CDS	798	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
EBBPGFGJ_00989	CDS	168				hypothetical protein
EBBPGFGJ_00990	CDS	960	sopD2			Secreted effector protein sopD2
EBBPGFGJ_00991	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
EBBPGFGJ_00992	CDS	858	focA		COG2116	Formate channel FocA
EBBPGFGJ_00993	CDS	1836	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
EBBPGFGJ_00994	CDS	693				hypothetical protein
EBBPGFGJ_00995	CDS	1089	serC	2.6.1.52		Phosphoserine aminotransferase
EBBPGFGJ_00996	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
EBBPGFGJ_00997	CDS	762	ycaL	3.4.-.-	COG0501	Metalloprotease YcaL
EBBPGFGJ_00998	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
EBBPGFGJ_00999	CDS	1674	rpsA		COG0539	Small ribosomal subunit protein bS1
EBBPGFGJ_01000	CDS	285	ihfB		COG0776	Integration host factor subunit beta
EBBPGFGJ_01001	CDS	2265				hypothetical protein
EBBPGFGJ_01002	CDS	1749	msbA	7.5.2.6		ATP-dependent lipid A-core flippase
EBBPGFGJ_01003	CDS	978	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
EBBPGFGJ_01004	CDS	1233	ycaQ	3.2.2.-	COG3214	Interstrand DNA cross-link repair glycosylase
EBBPGFGJ_01005	CDS	183				hypothetical protein
EBBPGFGJ_01006	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
EBBPGFGJ_01007	CDS	894				hypothetical protein
EBBPGFGJ_01008	CDS	777				hypothetical protein
EBBPGFGJ_01009	CDS	804	cmoM	2.1.1.-	COG2227	tRNA 5-carboxymethoxyuridine methyltransferase
EBBPGFGJ_01010	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
EBBPGFGJ_01011	CDS	705	mukE		COG3095	Chromosome partition protein MukE
EBBPGFGJ_01012	CDS	4467	mukB		COG3096	Chromosome partition protein MukB
EBBPGFGJ_01013	CDS	1842	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
EBBPGFGJ_01014	CDS	549	mepK	3.4.-.-	COG3108	Peptidoglycan L,D-endopeptidase MepK
EBBPGFGJ_01015	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
EBBPGFGJ_01016	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
EBBPGFGJ_01017	CDS	1092	ompF			Outer membrane porin F
EBBPGFGJ_01018	CDS	153				hypothetical protein
EBBPGFGJ_01019	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
EBBPGFGJ_01020	CDS	462	lrp_2		COG1522	Leucine-responsive regulatory protein
EBBPGFGJ_01021	CDS	1215	dpaL	4.3.1.15		Diaminopropionate ammonia-lyase
EBBPGFGJ_01022	CDS	1437				hypothetical protein
EBBPGFGJ_01023	CDS	1203	pncB	6.3.4.21		Nicotinate phosphoribosyltransferase
EBBPGFGJ_01024	CDS	1293	int			FimB-specific integrase
EBBPGFGJ_01025	CDS	249				hypothetical protein
EBBPGFGJ_01026	CDS	240				hypothetical protein
EBBPGFGJ_01027	CDS	1110				hypothetical protein
EBBPGFGJ_01028	CDS	2886				hypothetical protein
EBBPGFGJ_01029	CDS	237				hypothetical protein
EBBPGFGJ_01030	CDS	159				hypothetical protein
EBBPGFGJ_01031	CDS	411				hypothetical protein
EBBPGFGJ_01032	CDS	240				hypothetical protein
EBBPGFGJ_01033	CDS	321				hypothetical protein
EBBPGFGJ_01034	CDS	978				hypothetical protein
EBBPGFGJ_01035	CDS	750	dnaC_1	3.6.4.-	COG1484	Replicative helicase loader DnaC
EBBPGFGJ_01036	CDS	348				hypothetical protein
EBBPGFGJ_01037	CDS	312				hypothetical protein
EBBPGFGJ_01038	CDS	270				hypothetical protein
EBBPGFGJ_01039	CDS	234	dinI_1			DNA damage-inducible protein I
EBBPGFGJ_01040	CDS	603				hypothetical protein
EBBPGFGJ_01041	CDS	207				hypothetical protein
EBBPGFGJ_01042	CDS	612				hypothetical protein
EBBPGFGJ_01043	CDS	798				hypothetical protein
EBBPGFGJ_01044	CDS	219				hypothetical protein
EBBPGFGJ_01045	CDS	126				hypothetical protein
EBBPGFGJ_01046	CDS	450				hypothetical protein
EBBPGFGJ_01047	CDS	138				hypothetical protein
EBBPGFGJ_01048	CDS	474				hypothetical protein
EBBPGFGJ_01049	CDS	336				hypothetical protein
EBBPGFGJ_01050	CDS	453	rrrD	3.2.1.17	COG3772	Lysozyme RrrD
EBBPGFGJ_01051	CDS	501				hypothetical protein
EBBPGFGJ_01052	CDS	534				hypothetical protein
EBBPGFGJ_01053	CDS	2136				hypothetical protein
EBBPGFGJ_01054	CDS	207				hypothetical protein
EBBPGFGJ_01055	CDS	1548				hypothetical protein
EBBPGFGJ_01056	CDS	2055	clpP_3	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
EBBPGFGJ_01057	CDS	324				hypothetical protein
EBBPGFGJ_01058	CDS	267				hypothetical protein
EBBPGFGJ_01059	CDS	567				hypothetical protein
EBBPGFGJ_01060	CDS	402				hypothetical protein
EBBPGFGJ_01061	CDS	750				hypothetical protein
EBBPGFGJ_01062	CDS	399				hypothetical protein
EBBPGFGJ_01063	CDS	252				hypothetical protein
EBBPGFGJ_01064	CDS	3087				hypothetical protein
EBBPGFGJ_01065	CDS	333				hypothetical protein
EBBPGFGJ_01066	CDS	498	ail_3			Attachment invasion locus protein
EBBPGFGJ_01067	CDS	534	sodC1_2	1.15.1.1		Superoxide dismutase [Cu-Zn] 1
EBBPGFGJ_01068	CDS	696				hypothetical protein
EBBPGFGJ_01069	CDS	738				hypothetical protein
EBBPGFGJ_01070	CDS	543				hypothetical protein
EBBPGFGJ_01071	CDS	2448				hypothetical protein
EBBPGFGJ_01072	CDS	876				hypothetical protein
EBBPGFGJ_01073	CDS	243				hypothetical protein
EBBPGFGJ_01074	CDS	2439				hypothetical protein
EBBPGFGJ_01075	CDS	582	tfaE_2		COG2110	Prophage tail fiber assembly protein TfaE
EBBPGFGJ_01076	CDS	969	sseI			Secreted effector protein SseI
EBBPGFGJ_01077	CDS	249				IS66 family transposase ISSfl3
EBBPGFGJ_01078	CDS	627	yedK	4.-.-.-	COG2135	Abasic site processing protein YedK
EBBPGFGJ_01079	CDS	687				hypothetical protein
EBBPGFGJ_01080	CDS	255				hypothetical protein
EBBPGFGJ_01081	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
EBBPGFGJ_01082	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
EBBPGFGJ_01083	CDS	543	zapC			Cell division protein ZapC
EBBPGFGJ_01084	CDS	1110	ycbX		COG0633	putative protein YcbX
EBBPGFGJ_01085	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EBBPGFGJ_01086	CDS	1908	uup_1	3.6.1.-	COG0488	ATP-binding protein Uup
EBBPGFGJ_01087	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
EBBPGFGJ_01088	CDS	1641	pqiB		COG1463	Intermembrane transport protein PqiB
EBBPGFGJ_01089	CDS	564	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
EBBPGFGJ_01090	CDS	519	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
EBBPGFGJ_01091	CDS	1761	lon_2	3.4.21.53		Lon protease
EBBPGFGJ_01092	CDS	453	matP		COG3120	Macrodomain Ter protein
EBBPGFGJ_01093	CDS	1053	ompA			Outer membrane protein A
EBBPGFGJ_01094	CDS	510	sulA		COG5404	Cell division inhibitor SulA
EBBPGFGJ_01095	CDS	606	sxy		COG3070	Protein Sxy
EBBPGFGJ_01096	CDS	2154	yccS		COG1289	Inner membrane protein YccS
EBBPGFGJ_01097	CDS	447	yccF		COG3304	Inner membrane protein YccF
EBBPGFGJ_01098	CDS	2055	helD	5.6.2.4	COG0210	DNA helicase IV
EBBPGFGJ_01099	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
EBBPGFGJ_01100	CDS	663				hypothetical protein
EBBPGFGJ_01101	CDS	414	yccU		COG1832	putative protein YccU
EBBPGFGJ_01102	CDS	318	hspQ		COG3785	Heat shock protein HspQ
EBBPGFGJ_01103	CDS	1212	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
EBBPGFGJ_01104	CDS	549				hypothetical protein
EBBPGFGJ_01105	CDS	789				hypothetical protein
EBBPGFGJ_01106	CDS	282	yccX	3.6.1.7	COG1254	Acylphosphatase
EBBPGFGJ_01107	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
EBBPGFGJ_01108	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
EBBPGFGJ_01109	tRNA	88				tRNA-Ser(tga)
EBBPGFGJ_01110	CDS	681				hypothetical protein
EBBPGFGJ_01111	CDS	876	pipB			Secreted effector protein PipB
EBBPGFGJ_01112	CDS	342	sigE			Chaperone protein SigE
EBBPGFGJ_01113	CDS	1686	sopB	3.1.3.-		Inositol phosphate phosphatase SopB
EBBPGFGJ_01114	CDS	111				hypothetical protein
EBBPGFGJ_01115	CDS	1563				hypothetical protein
EBBPGFGJ_01116	CDS	1365	hprS	2.7.13.3	COG2205	Sensor histidine kinase HprS
EBBPGFGJ_01117	CDS	738	hprR		COG0745	Transcriptional regulatory protein HprR
EBBPGFGJ_01118	CDS	411	hiuH	3.5.2.17		5-hydroxyisourate hydrolase
EBBPGFGJ_01119	CDS	513	hpaC	1.5.1.36	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
EBBPGFGJ_01120	CDS	1563	hpaB	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
EBBPGFGJ_01121	CDS	441	farR			HTH-type transcriptional regulator FarR
EBBPGFGJ_01122	CDS	1290	hpcE			Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
EBBPGFGJ_01123	CDS	1467	hpcC	1.2.1.60	COG1012	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
EBBPGFGJ_01124	CDS	852	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
EBBPGFGJ_01125	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
EBBPGFGJ_01126	CDS	804	hpcG	4.2.1.163	COG3971	2-oxo-hept-4-ene-1,7-dioate hydratase
EBBPGFGJ_01127	CDS	792	hpcH	4.1.2.52		4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
EBBPGFGJ_01128	CDS	1377	ttuB_1			Putative tartrate transporter
EBBPGFGJ_01129	CDS	897	rhaR_2			HTH-type transcriptional activator RhaR
EBBPGFGJ_01130	CDS	939	rnz	3.1.26.11	COG1234	Ribonuclease Z
EBBPGFGJ_01131	CDS	363	iraM			Anti-adapter protein IraM
EBBPGFGJ_01132	CDS	306	cbpM		COG0789	Chaperone modulatory protein CbpM
EBBPGFGJ_01133	CDS	921	cbpA		COG0484	Curved DNA-binding protein
EBBPGFGJ_01134	CDS	363				hypothetical protein
EBBPGFGJ_01135	CDS	1887	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
EBBPGFGJ_01136	CDS	624				hypothetical protein
EBBPGFGJ_01137	CDS	507	resA			Thiol-disulfide oxidoreductase ResA
EBBPGFGJ_01138	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
EBBPGFGJ_01139	CDS	228	yccJ			putative protein YccJ
EBBPGFGJ_01140	CDS	597		1.6.5.2		NAD(P)H dehydrogenase (quinone)
EBBPGFGJ_01141	CDS	168				Putative virulence-regulating protein
EBBPGFGJ_01142	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
EBBPGFGJ_01143	CDS	396				hypothetical protein
EBBPGFGJ_01144	CDS	3963	putA			Bifunctional protein PutA
EBBPGFGJ_01145	CDS	1509	putP			Sodium/proline symporter
EBBPGFGJ_01146	CDS	297				hypothetical protein
EBBPGFGJ_01147	CDS	789	phoH		COG1702	Protein PhoH
EBBPGFGJ_01148	CDS	882	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
EBBPGFGJ_01149	CDS	1497	siaT		COG0591	Sodium/sialic acid symporter SiaT
EBBPGFGJ_01150	CDS	681	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
EBBPGFGJ_01151	CDS	1149	nanM	5.1.3.24	COG3055	N-acetylneuraminate epimerase
EBBPGFGJ_01152	CDS	693	kdgM_1		COG1452	Oligogalacturonate-specific porin KdgM
EBBPGFGJ_01153	CDS	1281	nanX_2		COG2814	Sialic acid transporter NanX
EBBPGFGJ_01154	CDS	1104	nanY	4.2.1.-	COG0673	2,7-anhydro-N-acetylneuraminate hydratase
EBBPGFGJ_01155	tRNA	88				tRNA-Ser(gga)
EBBPGFGJ_01156	CDS	939	ghrA	1.1.1.79		Glyoxylate/hydroxypyruvate reductase A
EBBPGFGJ_01157	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
EBBPGFGJ_01158	CDS	555	ycdY		COG3381	Chaperone protein YcdY
EBBPGFGJ_01159	CDS	495	ycdZ			Inner membrane protein YcdZ
EBBPGFGJ_01160	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
EBBPGFGJ_01161	CDS	417	csgF			Curli production assembly/transport component CsgF
EBBPGFGJ_01162	CDS	396	csgE			Curli production assembly/transport component CsgE
EBBPGFGJ_01163	CDS	651	csgD			putative csgAB operon transcriptional regulatory protein
EBBPGFGJ_01164	CDS	456	csgB			Minor curlin subunit
EBBPGFGJ_01165	CDS	456	csgA			Major curlin subunit
EBBPGFGJ_01166	CDS	327	csgC			Curli assembly protein CsgC
EBBPGFGJ_01167	CDS	321	ymdA			putative protein YmdA
EBBPGFGJ_01168	CDS	540	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
EBBPGFGJ_01169	CDS	1485	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
EBBPGFGJ_01170	CDS	1155	mdoC	2.1.-.-	COG1835	Glucans biosynthesis protein C
EBBPGFGJ_01171	CDS	1554	mdoG		COG3131	Glucans biosynthesis protein G
EBBPGFGJ_01172	CDS	2544	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
EBBPGFGJ_01173	CDS	228				hypothetical protein
EBBPGFGJ_01174	CDS	375	msyB			Acidic protein MsyB
EBBPGFGJ_01175	CDS	1215	sbnD_2		COG2814	Staphyloferrin B transporter
EBBPGFGJ_01176	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
EBBPGFGJ_01177	CDS	1053	trhO	1.14.-.-	COG1054	tRNA uridine(34) hydroxylase
EBBPGFGJ_01178	CDS	576	yceI_1		COG2353	Protein YceI
EBBPGFGJ_01179	CDS	573	yceJ		COG3038	Cytochrome b561 
EBBPGFGJ_01180	CDS	114	yceO			putative protein YceO
EBBPGFGJ_01181	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
EBBPGFGJ_01182	CDS	255	bssS			Biofilm regulator BssS
EBBPGFGJ_01183	CDS	246	dinI_2			DNA damage-inducible protein I
EBBPGFGJ_01184	CDS	1047	pyrC	3.5.2.3		Dihydroorotase
EBBPGFGJ_01185	CDS	561	yceB			putative lipoprotein YceB
EBBPGFGJ_01186	CDS	648	grxB		COG2999	Glutaredoxin 2
EBBPGFGJ_01187	CDS	1209	mdtH		COG0477	Multidrug resistance protein MdtH
EBBPGFGJ_01188	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein uS5]-alanine N-acetyltransferase
EBBPGFGJ_01189	CDS	648				hypothetical protein
EBBPGFGJ_01190	CDS	924	yceM	1.-.-.-		Putative oxidoreductase YceM
EBBPGFGJ_01191	CDS	1575	murJ			putative lipid II flippase MurJ
EBBPGFGJ_01192	CDS	423	flgN			Flagella synthesis protein FlgN
EBBPGFGJ_01193	CDS	294	flgM			Negative regulator of flagellin synthesis
EBBPGFGJ_01194	CDS	660	flgA			Flagella basal body P-ring formation protein FlgA
EBBPGFGJ_01195	CDS	417	flgB			Flagellar basal body rod protein FlgB
EBBPGFGJ_01196	CDS	405	flgC			Flagellar basal-body rod protein FlgC
EBBPGFGJ_01197	CDS	699	flgD			Basal-body rod modification protein FlgD
EBBPGFGJ_01198	CDS	1212	flgE			Flagellar hook protein FlgE
EBBPGFGJ_01199	CDS	756	flgF			Flagellar basal-body rod protein FlgF
EBBPGFGJ_01200	CDS	783	flgG			Flagellar basal-body rod protein FlgG
EBBPGFGJ_01201	CDS	666	flgH			Flagellar L-ring protein
EBBPGFGJ_01202	CDS	1098	flgI			Flagellar P-ring protein
EBBPGFGJ_01203	CDS	951	flgJ	3.2.1.-		Peptidoglycan hydrolase FlgJ
EBBPGFGJ_01204	CDS	1662	flgK			Flagellar hook-associated protein 1
EBBPGFGJ_01205	CDS	954	flgL			Flagellar hook-associated protein 3
EBBPGFGJ_01206	CDS	3204	rne	3.1.26.12	COG1530	Ribonuclease E
EBBPGFGJ_01207	CDS	1044	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
EBBPGFGJ_01208	CDS	762				hypothetical protein
EBBPGFGJ_01209	CDS	225				hypothetical protein
EBBPGFGJ_01210	CDS	585	yceF	3.6.1.-		7-methyl-GTP pyrophosphatase
EBBPGFGJ_01211	CDS	522	yceD			Large ribosomal RNA subunit accumulation protein YceD
EBBPGFGJ_01212	CDS	174	rpmF		COG0333	Large ribosomal subunit protein bL32
EBBPGFGJ_01213	CDS	1050	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
EBBPGFGJ_01214	CDS	954	fabH	2.3.1.180	COG0332	Beta-ketoacyl-[acyl-carrier-protein] synthase III
EBBPGFGJ_01215	CDS	930	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
EBBPGFGJ_01216	CDS	735	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EBBPGFGJ_01217	CDS	237	acpP_1		COG0236	Acyl carrier protein
EBBPGFGJ_01218	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EBBPGFGJ_01219	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
EBBPGFGJ_01220	CDS	1023	mltG	4.2.2.29	COG1559	Endolytic murein transglycosylase
EBBPGFGJ_01221	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
EBBPGFGJ_01222	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
EBBPGFGJ_01223	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
EBBPGFGJ_01224	CDS	1434	ptsG_1			PTS system glucose-specific EIICB component
EBBPGFGJ_01225	CDS	2175	fhuE		COG4773	Hydroxamate siderophore receptor FhuE
EBBPGFGJ_01226	CDS	378	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
EBBPGFGJ_01227	CDS	375				hypothetical protein
EBBPGFGJ_01228	CDS	639	lpoB			Penicillin-binding protein activator LpoB
EBBPGFGJ_01229	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
EBBPGFGJ_01230	CDS	1026	nagZ	3.2.1.52		Beta-hexosaminidase
EBBPGFGJ_01231	CDS	543				hypothetical protein
EBBPGFGJ_01232	CDS	1305	ndh	1.6.5.9	COG1252	Type II NADH:quinone oxidoreductase
EBBPGFGJ_01233	CDS	540				hypothetical protein
EBBPGFGJ_01234	CDS	636	comR		COG1309	HTH-type transcriptional repressor ComR
EBBPGFGJ_01235	CDS	258	bhsA			Multiple stress resistance protein BhsA
EBBPGFGJ_01236	CDS	966	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
EBBPGFGJ_01237	CDS	3447	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
EBBPGFGJ_01238	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
EBBPGFGJ_01239	CDS	702	lolD_2	7.6.2.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EBBPGFGJ_01240	CDS	1245	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
EBBPGFGJ_01241	CDS	912	nagK_1	2.7.1.59		N-acetyl-D-glucosamine kinase
EBBPGFGJ_01242	CDS	822	cobB	2.3.1.286		NAD-dependent protein deacylase
EBBPGFGJ_01243	CDS	1047	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
EBBPGFGJ_01244	CDS	780	potC		COG1177	Spermidine/putrescine transport system permease protein PotC
EBBPGFGJ_01245	CDS	1011	sifA			Secreted effector protein SifA
EBBPGFGJ_01246	CDS	864	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
EBBPGFGJ_01247	CDS	1137	potA	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
EBBPGFGJ_01248	CDS	1230	pepT	3.4.11.4		Peptidase T
EBBPGFGJ_01249	CDS	1335				hypothetical protein
EBBPGFGJ_01250	CDS	1122	roxA	1.14.11.47	COG2850	Ribosomal protein uL16 3-hydroxylase
EBBPGFGJ_01251	CDS	1464	phoQ	2.7.13.3		Virulence sensor histidine kinase PhoQ
EBBPGFGJ_01252	CDS	675	phoP			Virulence transcriptional regulatory protein PhoP
EBBPGFGJ_01253	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
EBBPGFGJ_01254	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
EBBPGFGJ_01255	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
EBBPGFGJ_01256	CDS	462	nudJ	3.6.1.-		Phosphatase NudJ
EBBPGFGJ_01257	CDS	330				hypothetical protein
EBBPGFGJ_01258	CDS	738	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
EBBPGFGJ_01259	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
EBBPGFGJ_01260	CDS	1125				hypothetical protein
EBBPGFGJ_01261	CDS	204				hypothetical protein
EBBPGFGJ_01262	CDS	789				hypothetical protein
EBBPGFGJ_01263	CDS	240				hypothetical protein
EBBPGFGJ_01264	CDS	522				hypothetical protein
EBBPGFGJ_01265	CDS	264				hypothetical protein
EBBPGFGJ_01266	CDS	558	ail_4			Attachment invasion locus protein
EBBPGFGJ_01267	tRNA	77				tRNA-Arg(cct)
EBBPGFGJ_01268	CDS	345				hypothetical protein
EBBPGFGJ_01269	CDS	174				hypothetical protein
EBBPGFGJ_01270	CDS	468	ibpA_1		COG0071	Small heat shock protein IbpA
EBBPGFGJ_01271	CDS	1044				hypothetical protein
EBBPGFGJ_01272	CDS	531	yodB		COG3038	Cytochrome b561 
EBBPGFGJ_01273	CDS	315				hypothetical protein
EBBPGFGJ_01274	CDS	1587				hypothetical protein
EBBPGFGJ_01275	CDS	975	dppB_1		COG0601	Dipeptide transport system permease protein DppB
EBBPGFGJ_01276	CDS	813	dppC_1		COG1173	Dipeptide transport system permease protein DppC
EBBPGFGJ_01277	CDS	798	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EBBPGFGJ_01278	CDS	591	oppF_1	7.4.2.6	COG4608	Oligopeptide transport ATP-binding protein OppF
EBBPGFGJ_01279	CDS	1134				hypothetical protein
EBBPGFGJ_01280	CDS	327	yhjQ			putative cysteine-rich protein YhjQ
EBBPGFGJ_01281	tRNA	77				tRNA-Arg(tct)
EBBPGFGJ_01282	CDS	651	zinT		COG3443	Metal-binding protein ZinT
